StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,A,1a-nd_1,2b-nd_1,3a-rd_1,4b-rd_1,5a-nd_1,6b-nd_1,7a-rd_1,8b-rd_1,1b-nd_1,2a-nd_1,3b-rd_1,4a-rd_1,5b-nd_1,6a-nd_1,7b-rd_1,8a-rd_1,1a-rd_1,2b-rd_1,3a-nd_1,4b-nd_1,5a-rd_1,6b-rd_1,7a-nd_1,8b-nd_1,1b-rd_1,2a-rd_1,3b-nd_1,4a-nd_1,5b-rd_1,6a-rd_1,7b-nd_1,8a-nd_1,i,ii,iii,iv,iv_1_TEXT,v
2017-08-03 14:26,2017-08-03 14:31,100,277,TRUE,2017-08-03 14:31,R_8phe47VfEZr1iz7,52.30270386,-0.694503784,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,4,6,5,Female,18 - 24,Kent,No,,
2017-08-03 14:32,2017-08-03 14:36,100,230,TRUE,2017-08-03 14:36,R_3DbCStjKQPHVj9Q,40.39529419,49.88220215,anonymous,EN,Yes,4,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,"Born in Lancaster, moved to Leicester aged 11. ",Yes,"Not as a child, but studied German (started age 14) and Russian (started age 18) at university, and studied French at A level (started age 11)",
2017-08-03 14:44,2017-08-03 14:50,100,345,TRUE,2017-08-03 14:50,R_1K8X5XfLLnzAS4f,50.73330688,-4,anonymous,EN,Yes,,,,,,,,,6,6,5,5,5,3,5,5,,,,,,,,,,,,,,,,,Female,18 - 24,Devon,No,,I clicked no to having grown up with another language assuming that learning French at school doesn't count! Hope that's right! 
2017-08-03 14:46,2017-08-03 16:04,100,4672,TRUE,2017-08-03 16:04,R_3s6pAQFjm828yhA,46.89169312,-1.252105713,anonymous,EN,,,,,,,,,,,,,,,,,,3,5,5,3,2,3,5,,,,,,,,,,Female,18 - 24,North East,No,,
2017-08-03 16:27,2017-08-03 16:30,100,132,TRUE,2017-08-03 16:30,R_1M5NEkcaLdg3FO3,53.64239502,-1.529205322,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,6,1,3,5,6,Male,18 - 24,West Yorkshire,No,,
2017-08-04 2:50,2017-08-04 2:55,100,280,TRUE,2017-08-04 2:55,R_27VxH2j0DPDO5HK,53.94599915,-1.116897583,anonymous,EN,Yes,6,6,3,5,4,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Female,18 - 24,North West ,No,,
2017-08-04 3:55,2017-08-04 3:59,100,275,TRUE,2017-08-04 3:59,R_3dLH7nx3cQXOVRi,52.479599,-1.937805176,anonymous,EN,Yes,,,,,,,,,,,,,,,,,5,6,6,6,4,4,6,4,,,,,,,,,Female,18 - 24,West Midlands,Yes,French,
2017-08-04 6:42,2017-08-04 6:46,100,242,TRUE,2017-08-04 6:46,R_1kTxOyjBpKqOeI4,54.58470154,-0.976394653,anonymous,EN,Yes,,,,,,,,,6,6,4,4,6,5,3,6,,,,,,,,,,,,,,,,,Female,18 - 24,North East,No,,No
2017-08-05 8:09,2017-08-05 8:13,100,218,TRUE,2017-08-05 8:13,R_p6EV8iM1zA0F0MV,53.67550659,-1.292404175,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,Male,18 - 24,West Yorkshire,No,,
2017-08-06 6:05,2017-08-06 6:35,100,1839,TRUE,2017-08-06 6:35,R_26heJM6HIyLF3fB,51.49639893,-0.122406006,anonymous,EN,,,,,,,,,,4,6,3,4,2,4,6,6,,,,,,,,,,,,,,,,,Female,18 - 24,Home Counties,No,,
2017-08-07 4:45,2017-08-07 4:49,100,268,TRUE,2017-08-07 4:49,R_2S1YJ3Uxu5ShEpU,54.28720093,-0.414199829,anonymous,EN,Yes,6,6,5,4,2,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,"South, North and West Yorkshire",No,,
2017-08-07 10:07,2017-08-07 10:09,100,130,TRUE,2017-08-07 10:09,R_2X54Kjg2f02q11L,53.96670532,-1.083297729,anonymous,EN,Yes,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,Male,35 - 44,Scotland,No,,"They all seemed like perfectly natural utterances to me, sorry"
2017-08-08 1:28,2017-08-08 1:31,100,169,TRUE,2017-08-08 1:31,R_1Ff9ZpGNqt01deB,51.44999695,-2.583297729,anonymous,EN,Yes,,,,,,,,,6,6,3,3,6,6,3,2,,,,,,,,,,,,,,,,,Female,18 - 24,Bristol (South West England),No,,
2017-08-08 2:14,2017-08-08 2:18,100,238,TRUE,2017-08-08 2:18,R_bsFRL9LGpfAto0V,28.23669434,-16.8433075,anonymous,EN,,,,,,,,,,,,,,,,,,4,4,6,6,2,3,6,5,,,,,,,,,Female,18 - 24,North West ,No,,Would love to know the results!! 
2017-08-09 1:10,2017-08-09 1:29,100,1111,TRUE,2017-08-09 1:29,R_3hsCAxQyd95Cio0,51.88330078,0.899993896,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,5,6,6,4,5,Male,35 - 44,Essex,No,,"Some of the questions needed to be a little more clear. For example, the question referencing Game of Thrones does not state whether the mother actually KNOWS the father does not want the child to read more fantasy books.

If she knows then the appropriateness of the statement may drop somewhat.

Unless she knows and disagrees. In which case the appropriateness is unchanged.

Or, she may know and be making this statement somewhat tongue-in-cheek. That would be a very British thing to do, in this case.

Essentially, I often found I needed a bit more context to decide how appropriate the statements were. 

Another example is the woman saying ""I bet those kids are up to no good"". If she's saying this tongue-in-cheek (very British) then the appropriateness is higher than if she's being sincere.

Many of my answers would have been a bit more definitive with a bit more context. Although it occurs to me that you may have wanted me to add my own subtext as part of your research.

Oh, and that dad shouldn't have been taking his timid kid to see a horror film in the first place! The most appropriate thing for him to say afterwards would probably be ""I'm a terrible dad, aren't I?""

I possibly overthink things. A bit. Sorry."
2017-08-09 5:16,2017-08-09 5:19,100,196,TRUE,2017-08-09 5:19,R_23L3ASEhCuPxoY1,53.53329468,-1.116699219,anonymous,EN,Yes,2,4,5,5,3,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,Non-Binary/Other,18 - 24,Derbyshire,No,,
2017-08-09 5:46,2017-08-09 5:52,100,363,TRUE,2017-08-09 5:52,R_12tK3F0gr7JlODu,51.49639893,-0.122406006,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,5,2,6,5,Female,45 - 54,Essex,No,,
2017-08-09 6:07,2017-08-09 6:11,100,255,TRUE,2017-08-09 6:11,R_2Tw6cheEuKwo6kl,51.3500061,-0.033294678,anonymous,EN,Yes,,,,,,,,,6,5,6,6,6,5,6,6,,,,,,,,,,,,,,,,,Female,25 - 34,Cumbria ,No,,
2017-08-09 6:25,2017-08-09 6:33,100,488,TRUE,2017-08-09 6:33,R_Bxlt0onZ3AzMra9,51.49639893,-0.122406006,anonymous,EN,Yes,,,,,,,,,,,,,,,,,5,6,6,6,3,5,6,5,,,,,,,,,Male,25 - 34,East Sussex,No,,
2017-08-09 10:50,2017-08-09 10:53,100,145,TRUE,2017-08-09 10:53,R_2EDYDyaagRPGKRm,53.80000305,-1.583297729,anonymous,EN,Yes,6,6,4,6,6,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,Female,18 - 24,"Age 0-19 Northern Ireland, age 19-24 Yorkshire",No,,
2017-08-09 10:58,2017-08-09 11:07,100,553,TRUE,2017-08-09 11:07,R_3IaGXi0knlvxjUN,50.95210266,0.269500732,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,2,2,1,6,2,Male,25 - 34,South East,No,,"You may want to make it clear that none of these phrases are said with a sarcastic tone... We British can say ANYTHING with a sarcastic tone and invert the meaning, and we like to do that A LOT!"
2017-08-09 11:34,2017-08-09 11:38,100,263,TRUE,2017-08-09 11:38,R_UEGK91Am7Vei6dz,53.36669922,-1.5,anonymous,EN,Yes,,,,,,,,,,,,,,,,,1,4,6,3,3,6,5,3,,,,,,,,,Male,18 - 24,Greater Manchester ,No,,
2017-08-09 12:10,2017-08-09 12:15,100,274,TRUE,2017-08-09 12:15,R_cIQbzCywY73muSB,54.58329773,-1.416702271,anonymous,EN,Yes,6,6,6,5,,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,South east ,No,,
2017-08-09 14:09,2017-08-09 14:31,100,1291,TRUE,2017-08-09 14:31,R_21d16fGVYzjziKn,50.95210266,0.269500732,anonymous,EN,,,,,,,,,,5,6,5,4,,6,4,6,,,,,,,,,,,,,,,,,Male,18 - 24,"North East, Yorkshire, South East",Yes,French,The questions are very interesting. It's almost as if the reactions I have to the statements reflect on my perceptions of various individuals in our society. Combining the ratings and comparing it with with my own age and demographics. I'm guessing this will give you an insight into the social norms and perceptions people may hold in regards to different scenarios...??
2017-08-10 9:44,2017-08-10 9:48,100,208,TRUE,2017-08-10 9:48,R_1EaikYc2ANI2Pej,52.5,-2.016693115,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,6,2,3,2,4,Female,18 - 24,West Midlands,No,,No.
2017-08-10 11:03,2017-08-10 11:10,100,425,TRUE,2017-08-10 11:10,R_qUTgrlvOT1q6Aff,53.36669922,-1.5,anonymous,EN,Yes,,,,,,,,,,,,,,,,,2,5,4,5,3,4,6,3,,,,,,,,,Female,18 - 24,"Somerset, Glasgow",No,,
2017-08-10 13:57,2017-08-10 14:01,100,235,TRUE,2017-08-10 14:01,R_237ffNVk7L5WU4U,53.39309692,-1.545196533,anonymous,EN,Yes,6,5,5,4,4,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,South Yorkshire ,No,,"Perhaps it's my working class background (bottom of the social pile, right here!)/time spent around people with thick Yorkshire accents, but some of the phrases which sounded quite natural to me might be somewhat alien to my social betters - as far as I'm aware, folk from London don't tend to add ""That one"" to their speech as much?"
2017-08-11 18:23,2017-08-11 18:25,100,127,TRUE,2017-08-11 18:25,R_OJ6fzXhkjq9jJFT,51.41630554,-1.33039856,anonymous,EN,,,,,,,,,,5,2,5,2,4,6,5,6,,,,,,,,,,,,,,,,,Female,18 - 24,West Berkshire ,Yes,German,
2017-08-11 21:44,2017-08-11 21:50,100,364,TRUE,2017-08-11 21:50,R_ysdTd4gTbUIi3fP,51.45629883,-0.971099854,anonymous,EN,Yes,,,,,,,,,4,6,6,2,4,4,5,6,,,,,,,,,,,,,,,,,Female,18 - 24,Bucks/Berks/Oxford tri-county border,No,,"Adding topic clarifiers is fairly common where I live, however a few of the examples given using it did it when the topic was already explicit, not implicit. Those were the only sentences that came across as particulary unnatural."
