StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,A,1a-nd_1,2b-nd_1,3a-rd_1,4b-rd_1,5a-nd_1,6b-nd_1,7a-rd_1,8b-rd_1,1b-nd_1,2a-nd_1,3b-rd_1,4a-rd_1,5b-nd_1,6a-nd_1,7b-rd_1,8a-rd_1,1a-rd_1,2b-rd_1,3a-nd_1,4b-nd_1,5a-rd_1,6b-rd_1,7a-nd_1,8b-nd_1,1b-rd_1,2a-rd_1,3b-nd_1,4a-nd_1,5b-rd_1,6a-rd_1,7b-nd_1,8a-nd_1,i,ii,iii,iv,iv_1_TEXT,v
2017-08-03 14:26:54,2017-08-03 14:31:32,IP Address,84.92.114.185,100,277,True,2017-08-03 14:31:33,R_8phe47VfEZr1iz7,,,,,52.302703857422,-0.69450378417969,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,4,6,5,Female,18 - 24,Kent,No,,
2017-08-03 14:32:19,2017-08-03 14:36:09,IP Address,185.41.201.248,100,230,True,2017-08-03 14:36:10,R_3DbCStjKQPHVj9Q,,,,,40.395294189453,49.882202148438,anonymous,EN,Yes,4,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,"Born in Lancaster, moved to Leicester aged 11. ",Yes,"Not as a child, but studied German (started age 14) and Russian (started age 18) at university, and studied French at A level (started age 11)",
2017-08-03 14:44:42,2017-08-03 14:50:28,IP Address,86.132.93.226,100,345,True,2017-08-03 14:50:28,R_1K8X5XfLLnzAS4f,,,,,50.733306884766,-4,anonymous,EN,Yes,,,,,,,,,6,6,5,5,5,3,5,5,,,,,,,,,,,,,,,,,Female,18 - 24,Devon,No,,"I clicked no to having grown up with another language assuming that learning French at school doesn't count! Hope that's right! "
2017-08-03 14:46:59,2017-08-03 16:04:51,IP Address,82.120.4.205,100,4672,True,2017-08-03 16:04:52,R_3s6pAQFjm828yhA,,,,,46.891693115234,-1.2521057128906,anonymous,EN,,,,,,,,,,,,,,,,,,3,5,5,3,2,3,5,,,,,,,,,,Female,18 - 24,North East,No,,
2017-08-03 16:27:59,2017-08-03 16:30:12,IP Address,82.46.79.98,100,132,True,2017-08-03 16:30:13,R_1M5NEkcaLdg3FO3,,,,,53.642395019531,-1.5292053222656,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,6,1,3,5,6,Male,18 - 24,West Yorkshire,No,,
2017-08-04 02:50:56,2017-08-04 02:55:36,IP Address,82.18.2.84,100,280,True,2017-08-04 02:55:37,R_27VxH2j0DPDO5HK,,,,,53.945999145508,-1.1168975830078,anonymous,EN,Yes,6,6,3,5,4,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Female,18 - 24,"North West ",No,,
2017-08-04 03:55:08,2017-08-04 03:59:44,IP Address,78.147.209.247,100,275,True,2017-08-04 03:59:45,R_3dLH7nx3cQXOVRi,,,,,52.479598999023,-1.9378051757812,anonymous,EN,Yes,,,,,,,,,,,,,,,,,5,6,6,6,4,4,6,4,,,,,,,,,Female,18 - 24,West Midlands,Yes,French,
2017-08-04 06:42:10,2017-08-04 06:46:12,IP Address,86.29.217.107,100,242,True,2017-08-04 06:46:13,R_1kTxOyjBpKqOeI4,,,,,54.584701538086,-0.97639465332031,anonymous,EN,Yes,,,,,,,,,6,6,4,4,6,5,3,6,,,,,,,,,,,,,,,,,Female,18 - 24,North East,No,,No
2017-08-05 08:09:41,2017-08-05 08:13:20,IP Address,86.166.120.91,100,218,True,2017-08-05 08:13:20,R_p6EV8iM1zA0F0MV,,,,,53.675506591797,-1.2924041748047,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,Male,18 - 24,West Yorkshire,No,,
2017-08-06 06:05:12,2017-08-06 06:35:51,IP Address,87.112.20.126,100,1839,True,2017-08-06 06:35:52,R_26heJM6HIyLF3fB,,,,,51.496398925781,-0.12240600585938,anonymous,EN,,,,,,,,,,4,6,3,4,2,4,6,6,,,,,,,,,,,,,,,,,Female,18 - 24,Home Counties,No,,
2017-08-07 04:45:08,2017-08-07 04:49:36,IP Address,79.64.62.21,100,268,True,2017-08-07 04:49:37,R_2S1YJ3Uxu5ShEpU,,,,,54.287200927734,-0.41419982910156,anonymous,EN,Yes,6,6,5,4,2,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,"South, North and West Yorkshire",No,,
2017-08-07 10:07:10,2017-08-07 10:09:20,IP Address,144.32.241.128,100,130,True,2017-08-07 10:09:21,R_2X54Kjg2f02q11L,,,,,53.966705322266,-1.0832977294922,anonymous,EN,Yes,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,Male,35 - 44,Scotland,No,,"They all seemed like perfectly natural utterances to me, sorry"
2017-08-08 01:28:24,2017-08-08 01:31:13,IP Address,90.222.65.26,100,169,True,2017-08-08 01:31:14,R_1Ff9ZpGNqt01deB,,,,,51.449996948242,-2.5832977294922,anonymous,EN,Yes,,,,,,,,,6,6,3,3,6,6,3,2,,,,,,,,,,,,,,,,,Female,18 - 24,Bristol (South West England),No,,
2017-08-08 02:14:23,2017-08-08 02:18:21,IP Address,159.147.37.186,100,238,True,2017-08-08 02:18:24,R_bsFRL9LGpfAto0V,,,,,28.236694335938,-16.843307495117,anonymous,EN,,,,,,,,,,,,,,,,,,4,4,6,6,2,3,6,5,,,,,,,,,Female,18 - 24,"North West ",No,,"Would love to know the results!! "
2017-08-09 01:10:52,2017-08-09 01:29:23,IP Address,92.24.233.176,100,1111,True,2017-08-09 01:29:24,R_3hsCAxQyd95Cio0,,,,,51.88330078125,0.89999389648438,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,5,6,6,4,5,Male,35 - 44,Essex,No,,"Some of the questions needed to be a little more clear. For example, the question referencing Game of Thrones does not state whether the mother actually KNOWS the father does not want the child to read more fantasy books.

If she knows then the appropriateness of the statement may drop somewhat.

Unless she knows and disagrees. In which case the appropriateness is unchanged.

Or, she may know and be making this statement somewhat tongue-in-cheek. That would be a very British thing to do, in this case.

Essentially, I often found I needed a bit more context to decide how appropriate the statements were. 

Another example is the woman saying ""I bet those kids are up to no good"". If she's saying this tongue-in-cheek (very British) then the appropriateness is higher than if she's being sincere.

Many of my answers would have been a bit more definitive with a bit more context. Although it occurs to me that you may have wanted me to add my own subtext as part of your research.

Oh, and that dad shouldn't have been taking his timid kid to see a horror film in the first place! The most appropriate thing for him to say afterwards would probably be ""I'm a terrible dad, aren't I?""

I possibly overthink things. A bit. Sorry."
2017-08-09 05:16:32,2017-08-09 05:19:48,IP Address,176.25.214.190,100,196,True,2017-08-09 05:19:49,R_23L3ASEhCuPxoY1,,,,,53.533294677734,-1.11669921875,anonymous,EN,Yes,2,4,5,5,3,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,Non-Binary/Other,18 - 24,Derbyshire,No,,
2017-08-09 05:46:40,2017-08-09 05:52:44,IP Address,85.255.237.126,100,363,True,2017-08-09 05:52:45,R_12tK3F0gr7JlODu,,,,,51.496398925781,-0.12240600585938,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,5,2,6,5,Female,45 - 54,Essex,No,,
2017-08-09 06:07:40,2017-08-09 06:11:55,IP Address,213.205.194.65,100,255,True,2017-08-09 06:11:56,R_2Tw6cheEuKwo6kl,,,,,51.350006103516,-0.033294677734375,anonymous,EN,Yes,,,,,,,,,6,5,6,6,6,5,6,6,,,,,,,,,,,,,,,,,Female,25 - 34,"Cumbria ",No,,
2017-08-09 06:25:42,2017-08-09 06:33:50,IP Address,84.92.87.238,100,488,True,2017-08-09 06:33:51,R_Bxlt0onZ3AzMra9,,,,,51.496398925781,-0.12240600585938,anonymous,EN,Yes,,,,,,,,,,,,,,,,,5,6,6,6,3,5,6,5,,,,,,,,,Male,25 - 34,East Sussex,No,,
2017-08-09 10:50:54,2017-08-09 10:53:19,IP Address,86.24.105.104,100,145,True,2017-08-09 10:53:22,R_2EDYDyaagRPGKRm,,,,,53.800003051758,-1.5832977294922,anonymous,EN,Yes,6,6,4,6,6,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,Female,18 - 24,"Age 0-19 Northern Ireland, age 19-24 Yorkshire",No,,
2017-08-09 10:58:21,2017-08-09 11:07:34,IP Address,86.163.155.62,100,553,True,2017-08-09 11:07:35,R_3IaGXi0knlvxjUN,,,,,50.952102661133,0.26950073242188,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,2,2,1,6,2,Male,25 - 34,South East,No,,"You may want to make it clear that none of these phrases are said with a sarcastic tone... We British can say ANYTHING with a sarcastic tone and invert the meaning, and we like to do that A LOT!"
2017-08-09 11:34:27,2017-08-09 11:38:51,IP Address,92.5.54.65,100,263,True,2017-08-09 11:38:52,R_UEGK91Am7Vei6dz,,,,,53.36669921875,-1.5,anonymous,EN,Yes,,,,,,,,,,,,,,,,,1,4,6,3,3,6,5,3,,,,,,,,,Male,18 - 24,"Greater Manchester ",No,,
2017-08-09 12:10:44,2017-08-09 12:15:19,IP Address,90.212.247.164,100,274,True,2017-08-09 12:15:19,R_cIQbzCywY73muSB,,,,,54.583297729492,-1.4167022705078,anonymous,EN,Yes,6,6,6,5,,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,"South east ",No,,
2017-08-09 14:09:40,2017-08-09 14:31:12,IP Address,2.26.63.163,100,1291,True,2017-08-09 14:31:12,R_21d16fGVYzjziKn,,,,,50.952102661133,0.26950073242188,anonymous,EN,,,,,,,,,,5,6,5,4,,6,4,6,,,,,,,,,,,,,,,,,Male,18 - 24,"North East, Yorkshire, South East",Yes,French,The questions are very interesting. It's almost as if the reactions I have to the statements reflect on my perceptions of various individuals in our society. Combining the ratings and comparing it with with my own age and demographics. I'm guessing this will give you an insight into the social norms and perceptions people may hold in regards to different scenarios...??
